age,daily_activity_hours,sleep_hours,caffeine_intake,screen_time,exercise_hours,stress_score,burnout_general
36.0,4.19,7.78,3.0,6.14,0.62,0,Low
21.0,12.25,5.09,1.0,15.6,1.13,5,Medium
20.0,5.43,7.99,1.0,9.6,1.84,0,Low
35.0,7.1,4.95,7.0,10.41,0.8,4,Medium
31.0,9.69,7.61,0.0,12.35,1.01,1,Low
24.0,6.46,5.67,0.0,10.05,1.5,3,Medium
24.0,8.97,6.92,6.0,10.54,1.61,4,Medium
42.0,12.09,4.19,7.0,15.98,1.85,6,High
28.0,8.71,6.48,2.0,12.5,0.99,3,Medium
28.0,13.49,4.74,1.0,16.55,0.39,6,High
22.0,12.48,6.43,3.0,14.6,1.53,5,Medium
38.0,7.33,4.71,1.0,11.52,0.25,4,Medium
35.0,8.0,6.19,7.0,11.04,0.84,4,Medium
35.0,8.23,4.55,3.0,9.47,1.26,2,Low
22.0,10.26,5.1,1.0,14.93,1.38,3,Medium
39.0,6.87,6.98,3.0,10.94,1.47,3,Medium
43.0,13.69,8.88,7.0,17.03,0.39,5,Medium
43.0,7.99,7.44,1.0,12.83,0.36,2,Low
20.0,10.45,6.7,4.0,14.55,0.19,4,Medium
39.0,12.18,4.32,3.0,15.79,1.82,5,Medium
30.0,9.68,4.72,2.0,11.8,1.12,3,Medium
36.0,4.42,8.42,3.0,6.2,1.19,0,Low
27.0,5.77,6.05,2.0,7.86,1.08,2,Low
23.0,12.65,7.07,7.0,14.82,0.09,5,Medium
27.0,13.5,5.89,1.0,15.06,0.72,5,Medium
39.0,4.72,5.94,2.0,8.83,1.87,2,Low
35.0,5.94,4.71,3.0,8.48,0.6,2,Low
44.0,9.54,5.94,6.0,11.74,1.01,4,Medium
22.0,7.83,6.23,6.0,10.88,0.95,4,Medium
44.0,5.57,8.93,0.0,7.84,0.8,0,Low
37.0,10.43,5.76,6.0,13.15,0.63,4,Medium
37.0,6.75,4.69,4.0,10.25,1.64,3,Medium
21.0,8.8,4.33,4.0,12.79,0.9,3,Medium
41.0,11.46,8.36,1.0,15.31,1.15,3,Medium
22.0,6.05,7.65,5.0,10.31,1.09,2,Low
35.0,6.93,5.59,1.0,8.74,1.15,2,Low
28.0,7.46,6.52,6.0,12.44,1.41,4,Medium
20.0,12.47,7.54,6.0,16.34,0.55,4,Medium
23.0,7.76,4.35,4.0,11.47,1.11,3,Medium
20.0,6.97,7.79,7.0,10.23,0.49,3,Medium
33.0,12.89,6.73,2.0,17.87,1.18,5,Medium
40.0,13.99,5.39,4.0,15.86,0.86,5,Medium
35.0,10.7,8.31,5.0,13.39,0.08,3,Medium
39.0,13.9,8.93,1.0,15.41,1.47,3,Medium
43.0,10.6,5.27,3.0,12.33,0.55,3,Medium
27.0,11.33,8.03,6.0,15.18,1.84,4,Medium
26.0,7.89,7.75,0.0,8.91,0.56,0,Low
22.0,8.33,7.74,5.0,12.89,1.99,2,Low
36.0,5.44,8.79,4.0,8.97,0.93,0,Low
20.0,12.23,6.43,2.0,14.99,0.05,6,High
35.0,13.31,7.37,5.0,15.64,0.15,5,Medium
38.0,7.44,6.4,7.0,12.13,0.11,5,Medium
25.0,13.45,6.26,2.0,15.19,0.73,5,Medium
25.0,4.48,6.1,2.0,8.63,1.27,2,Low
41.0,6.84,6.64,0.0,11.38,1.03,3,Medium
27.0,12.81,6.09,7.0,14.53,1.25,6,High
21.0,7.27,7.98,7.0,10.08,0.08,3,Medium
40.0,6.9,6.71,3.0,10.74,1.12,3,Medium
20.0,6.7,8.68,7.0,7.97,0.74,1,Low
34.0,5.45,4.98,3.0,7.94,1.85,2,Low
20.0,9.82,8.95,2.0,13.11,1.77,1,Low
24.0,5.68,5.49,5.0,8.15,1.28,3,Medium
35.0,8.25,7.21,7.0,11.17,1.54,2,Low
23.0,4.2,5.8,0.0,6.67,0.03,3,Medium
22.0,4.17,4.7,6.0,5.59,1.41,3,Medium
36.0,10.96,7.56,0.0,14.07,1.37,1,Low
31.0,13.42,5.89,0.0,15.12,0.02,6,High
33.0,5.79,8.81,4.0,10.35,0.62,1,Low
40.0,5.03,5.63,7.0,9.37,1.03,3,Medium
25.0,4.52,8.92,2.0,6.92,0.67,0,Low
22.0,8.36,5.03,4.0,12.68,1.39,3,Medium
28.0,10.23,4.51,7.0,13.36,1.05,4,Medium
24.0,12.41,5.56,5.0,14.05,1.92,6,High
43.0,10.83,8.43,6.0,14.29,0.72,2,Low
36.0,6.08,6.61,1.0,9.8,1.44,2,Low
40.0,13.1,5.01,3.0,15.36,0.51,5,Medium
22.0,7.27,5.56,5.0,8.29,1.51,3,Medium
20.0,8.99,6.95,6.0,11.26,0.79,4,Medium
39.0,13.59,5.66,5.0,15.93,0.26,7,High
40.0,11.35,7.74,7.0,14.87,0.01,5,Medium
42.0,11.48,7.08,4.0,13.28,1.49,3,Medium
20.0,6.52,8.37,7.0,7.64,0.37,2,Low
37.0,4.82,5.66,5.0,9.12,0.99,3,Medium
29.0,5.04,5.78,3.0,7.7,1.38,2,Low
22.0,12.15,8.05,6.0,16.16,0.27,5,Medium
27.0,9.34,4.44,6.0,12.26,0.81,4,Medium
33.0,5.41,5.93,4.0,6.78,1.04,2,Low
43.0,4.26,4.43,4.0,6.09,1.65,2,Low
37.0,11.97,4.7,6.0,13.72,1.17,6,High
34.0,10.0,4.02,5.0,13.03,1.81,4,Medium
41.0,11.11,4.05,6.0,12.23,0.44,7,High
42.0,7.04,5.9,5.0,9.17,1.19,3,Medium
21.0,9.09,8.05,4.0,12.52,1.31,1,Low
29.0,11.47,6.94,4.0,13.89,1.45,5,Medium
21.0,8.63,7.17,7.0,12.46,1.98,2,Low
36.0,10.01,6.6,7.0,12.57,0.94,4,Medium
20.0,6.15,8.4,1.0,11.01,1.7,1,Low
28.0,4.66,8.25,2.0,8.86,0.35,1,Low
30.0,9.32,8.06,1.0,14.14,0.07,2,Low
41.0,4.62,4.91,4.0,6.44,0.89,2,Low
35.0,11.67,6.97,0.0,15.67,0.49,6,High
26.0,11.19,6.91,0.0,13.48,0.79,5,Medium
29.0,12.82,6.64,3.0,16.72,1.97,5,Medium
42.0,10.4,6.4,1.0,12.9,0.7,3,Medium
37.0,6.53,4.51,7.0,11.37,0.5,4,Medium
44.0,12.08,8.51,3.0,13.92,0.61,3,Medium
43.0,5.67,7.15,3.0,9.7,0.49,1,Low
32.0,10.98,5.31,0.0,14.68,1.14,3,Medium
26.0,11.8,5.4,1.0,14.01,0.45,6,High
44.0,7.3,7.05,2.0,10.13,1.44,1,Low
23.0,7.22,6.03,6.0,8.79,1.36,3,Medium
32.0,9.58,6.21,5.0,14.26,0.84,4,Medium
39.0,12.61,4.3,1.0,17.48,0.05,6,High
20.0,6.24,4.69,7.0,10.17,0.05,5,Medium
27.0,13.41,5.97,3.0,17.81,1.07,5,Medium
33.0,9.99,7.5,4.0,11.32,1.68,1,Low
35.0,13.92,4.24,3.0,16.46,1.2,5,Medium
33.0,4.9,5.67,1.0,7.22,0.87,2,Low
31.0,5.27,7.48,0.0,8.53,1.76,0,Low
38.0,12.27,7.96,6.0,14.0,0.39,5,Medium
42.0,12.65,4.95,1.0,15.9,0.72,5,Medium
34.0,8.45,7.66,2.0,12.07,1.13,1,Low
21.0,11.14,8.78,5.0,12.67,0.58,4,Medium
21.0,12.68,8.53,5.0,14.21,2.0,4,Medium
42.0,4.43,7.95,4.0,5.57,0.9,0,Low
41.0,9.74,7.56,4.0,13.78,0.1,2,Low
38.0,12.53,5.18,3.0,14.85,0.35,6,High
44.0,7.98,7.17,1.0,9.88,1.06,0,Low
41.0,7.02,7.22,5.0,11.13,1.1,2,Low
41.0,11.96,6.03,0.0,13.53,1.97,5,Medium
36.0,7.36,6.47,2.0,10.07,1.2,3,Medium
39.0,4.03,7.47,3.0,8.01,1.33,0,Low
29.0,13.6,8.76,1.0,16.9,0.43,4,Medium
34.0,12.2,5.23,1.0,13.83,1.2,5,Medium
41.0,12.25,7.01,0.0,13.97,1.73,3,Medium
30.0,4.66,4.65,7.0,7.99,1.17,3,Medium
20.0,7.11,4.44,1.0,11.59,1.16,3,Medium
27.0,7.21,6.45,1.0,9.61,0.94,2,Low
31.0,10.23,4.35,6.0,12.26,1.48,4,Medium
31.0,8.95,5.03,5.0,13.46,1.07,4,Medium
24.0,6.11,5.68,3.0,9.68,0.8,2,Low
26.0,7.82,5.84,1.0,10.62,1.12,3,Medium
23.0,9.44,7.38,1.0,12.78,0.48,2,Low
25.0,8.68,6.65,3.0,11.2,0.86,3,Medium
32.0,5.27,5.91,3.0,8.13,1.24,2,Low
39.0,10.5,6.25,4.0,12.93,0.45,4,Medium
22.0,7.78,7.85,5.0,10.04,1.04,2,Low
42.0,11.1,4.21,3.0,12.41,1.72,5,Medium
27.0,4.2,8.15,6.0,5.35,1.69,1,Low
39.0,9.7,6.7,2.0,11.4,0.99,3,Medium
35.0,7.35,6.64,5.0,9.36,0.39,4,Medium
32.0,4.09,7.52,0.0,8.65,1.47,0,Low
37.0,5.9,8.3,7.0,9.34,0.84,1,Low
29.0,13.41,8.71,3.0,18.24,1.19,3,Medium
38.0,9.21,6.72,4.0,11.57,0.21,4,Medium
36.0,13.97,4.75,7.0,16.58,1.26,6,High
43.0,9.25,8.39,1.0,13.13,0.75,1,Low
38.0,9.44,4.2,3.0,12.75,0.67,3,Medium
24.0,7.1,7.4,4.0,10.4,0.86,1,Low
40.0,6.52,8.52,4.0,9.86,1.36,0,Low
42.0,7.43,8.49,2.0,11.49,1.26,1,Low
28.0,8.6,4.27,5.0,12.27,0.21,5,Medium
31.0,5.92,7.05,4.0,10.75,1.5,1,Low
40.0,6.25,4.62,4.0,11.04,0.65,3,Medium
20.0,6.72,4.39,4.0,9.41,1.6,2,Low
20.0,8.49,6.24,7.0,9.63,1.22,3,Medium
34.0,10.53,4.49,5.0,11.57,0.63,4,Medium
21.0,12.56,7.64,1.0,14.05,0.71,3,Medium
41.0,6.87,8.84,3.0,8.17,1.46,0,Low
35.0,5.84,6.85,3.0,8.33,1.1,2,Low
44.0,7.79,5.18,4.0,9.0,1.34,2,Low
32.0,4.1,8.27,6.0,5.86,1.57,1,Low
20.0,8.77,7.08,2.0,10.18,1.24,1,Low
35.0,5.61,8.34,4.0,9.92,0.23,1,Low
26.0,7.21,4.82,7.0,11.33,0.64,4,Medium
24.0,6.25,8.66,5.0,8.8,1.3,1,Low
41.0,12.78,8.74,5.0,17.42,0.55,4,Medium
22.0,9.63,5.25,2.0,13.89,1.32,3,Medium
31.0,9.94,8.29,5.0,13.12,1.74,2,Low
35.0,10.4,6.49,7.0,12.72,0.79,4,Medium
38.0,8.96,6.97,3.0,10.3,0.07,4,Medium
41.0,7.35,4.15,2.0,11.8,0.68,3,Medium
44.0,5.84,5.81,0.0,9.27,0.9,2,Low
33.0,10.8,8.08,2.0,12.75,1.36,1,Low
24.0,4.57,8.07,2.0,7.55,1.4,0,Low
34.0,9.64,8.24,7.0,11.07,0.06,3,Medium
36.0,6.11,4.85,1.0,7.51,1.54,2,Low
33.0,13.49,7.53,3.0,18.12,0.99,3,Medium
39.0,7.36,4.73,4.0,10.19,1.11,3,Medium
24.0,7.25,7.93,7.0,9.7,0.6,1,Low
31.0,13.23,5.23,0.0,18.03,0.84,5,Medium
35.0,8.17,7.69,2.0,10.77,1.42,1,Low
35.0,13.63,6.28,1.0,15.97,1.55,5,Medium
40.0,4.24,8.93,1.0,6.33,0.77,0,Low
26.0,7.06,6.9,7.0,10.32,1.38,4,Medium
23.0,10.66,7.16,5.0,13.89,0.52,2,Low
24.0,6.56,7.67,4.0,10.18,1.22,1,Low
42.0,13.3,6.47,6.0,17.45,1.55,6,High
29.0,9.94,4.09,3.0,13.4,0.95,3,Medium
41.0,12.01,7.04,6.0,16.49,0.46,5,Medium
24.0,7.97,8.15,5.0,10.08,0.86,2,Low
23.0,6.12,5.18,2.0,7.89,0.76,2,Low
21.0,13.11,5.11,1.0,16.9,0.67,5,Medium
39.0,13.33,7.04,0.0,15.08,0.42,4,Medium
29.0,8.98,8.09,3.0,10.34,1.52,1,Low
38.0,4.06,5.25,7.0,5.45,0.17,4,Medium
20.0,5.1,8.66,2.0,9.17,1.78,0,Low
43.0,9.73,8.64,5.0,10.84,0.35,3,Medium
32.0,7.97,5.32,5.0,9.49,1.98,3,Medium
23.0,7.03,7.5,2.0,11.05,0.8,1,Low
35.0,11.14,8.76,5.0,14.15,1.98,4,Medium
43.0,4.56,7.55,4.0,6.38,1.74,0,Low
35.0,8.89,6.22,2.0,12.89,0.16,4,Medium
42.0,9.79,4.85,0.0,13.79,1.89,3,Medium
21.0,10.17,6.31,6.0,13.26,0.09,5,Medium
36.0,8.05,7.03,3.0,10.15,0.36,2,Low
39.0,7.04,5.65,5.0,10.39,1.17,4,Medium
43.0,10.82,6.55,4.0,15.55,0.16,4,Medium
37.0,10.94,6.26,1.0,13.01,1.91,3,Medium
22.0,13.32,4.45,0.0,15.46,1.99,5,Medium
20.0,11.17,4.25,0.0,14.7,1.6,5,Medium
20.0,11.65,8.29,0.0,15.25,1.03,3,Medium
38.0,5.68,5.03,7.0,7.51,1.8,3,Medium
30.0,8.2,6.88,4.0,10.06,0.22,4,Medium
24.0,8.85,4.74,7.0,13.56,1.89,4,Medium
31.0,6.56,5.31,1.0,10.59,0.7,3,Medium
